id_day,date,description,death_date,description_lower
1,2024-06-01,"Memória de São Justino , mártir, um filósofo que seguiu rectamente a verdadeira sabedoria reconhecida na verdade de Cristo, manifestou-a na sua vida, ensinou-a na sua pregação, defendeu-a nos seus escritos e confirmou-a com a sua morte em Roma no tempo do imperador Marco Aurélio Antonino. De facto, depois de ter apresentado ao imperador a sua “Apologia” em defesa da religião cristã, foi entregue ao prefeito Rústico e, confessando perante ele que era cristão, foi condenado à morte.",(† c. 165),"memória de são justino , mártir, um filósofo que seguiu rectamente a verdadeira sabedoria reconhecida na verdade de cristo, manifestou-a na sua vida, ensinou-a na sua pregação, defendeu-a nos seus escritos e confirmou-a com a sua morte em roma no tempo do imperador marco aurélio antonino. de facto, depois de ter apresentado ao imperador a sua “apologia” em defesa da religião cristã, foi entregue ao prefeito rústico e, confessando perante ele que era cristão, foi condenado à morte."
2,2024-06-01,"Também em Roma, os santos Caritão e Carito , Evelpisto e Jeraces , Peão e Liberiano , mártires, que foram discípulos de São Justino e, juntamente com ele, receberam a coroa de glória.",(† c. 165),"também em roma, os santos caritão e carito , evelpisto e jeraces , peão e liberiano , mártires, que foram discípulos de são justino e, juntamente com ele, receberam a coroa de glória."
3,2024-06-01,"Em Alexandria, no Egipto, os santos mártires Amon , Zenão , Ptolomeu , Ingenes , soldados, e o ancião Teófilo , que, presentes no tribunal, com o rosto, os olhos e os gestos procuravam encorajar um cristão intimidado pelos suplícios a que era submetido e estava prestes a renegar da fé; tendo-se levantado contra eles um clamor de todo o povo, irromperam para o meio do tribunal e afirmaram que eram cristãos; assim, pela sua vitória triunfou gloriosamente Cristo, que dera aos seus fiéis tão firme constância de ânimo.",(† 249),"em alexandria, no egipto, os santos mártires amon , zenão , ptolomeu , ingenes , soldados, e o ancião teófilo , que, presentes no tribunal, com o rosto, os olhos e os gestos procuravam encorajar um cristão intimidado pelos suplícios a que era submetido e estava prestes a renegar da fé; tendo-se levantado contra eles um clamor de todo o povo, irromperam para o meio do tribunal e afirmaram que eram cristãos; assim, pela sua vitória triunfou gloriosamente cristo, que dera aos seus fiéis tão firme constância de ânimo."
4,2024-06-01,"Em Licópolis, também no Egipto, os santos mártires Isquirião , comandante do exército, e outros cinco soldados , que, por ordem do prefeito Arriano, no tempo do imperador Décio, deram a vida pela fé em Cristo com diversos géneros de martírio.",(† c. 250),"em licópolis, também no egipto, os santos mártires isquirião , comandante do exército, e outros cinco soldados , que, por ordem do prefeito arriano, no tempo do imperador décio, deram a vida pela fé em cristo com diversos géneros de martírio."
5,2024-06-01,"Em Bolonha, na actual Emília-Romanha, região da Itália, São Próculo , mártir, que pela verdade cristã foi trespassado com grossos cravos de traves.",(† c. 300),"em bolonha, na actual emília-romanha, região da itália, são próculo , mártir, que pela verdade cristã foi trespassado com grossos cravos de traves."
6,2024-06-01,"Em Montefalco, na Úmbria, também região da Itália, São Fortunato , presbítero, que, segundo a tradição, sendo ele mesmo pobre, com assíduo trabalho acudiu às necessidades dos pobres e deu a vida pelos irmãos.",(† s. IV/V),"em montefalco, na úmbria, também região da itália, são fortunato , presbítero, que, segundo a tradição, sendo ele mesmo pobre, com assíduo trabalho acudiu às necessidades dos pobres e deu a vida pelos irmãos."
7,2024-06-01,"Na ilha de Lérins, na Provença, actualmente na França, São Caprásio , eremita, que juntamente com Santo Honorato se retirou neste lugar e aí deu início à vida monástica.",(† 430),"na ilha de lérins, na provença, actualmente na frança, são caprásio , eremita, que juntamente com santo honorato se retirou neste lugar e aí deu início à vida monástica."
8,2024-06-01,"Em Arvena, na Aquitânia, na França, São Floro , cujo nome foi dado ao mosteiro construído sobre o seu túmulo, bem como à cidade e à sede episcopal.",(† data inc.),"em arvena, na aquitânia, na frança, são floro , cujo nome foi dado ao mosteiro construído sobre o seu túmulo, bem como à cidade e à sede episcopal."
9,2024-06-01,"Na Bretanha Menor, também na hodierna França, São Ronano , bispo, que chegou por mar da Irlanda e nas florestas levou vida eremítica.",(† s. VII/VIII),"na bretanha menor, também na hodierna frança, são ronano , bispo, que chegou por mar da irlanda e nas florestas levou vida eremítica."
10,2024-06-01,"No território de Leicester, na Inglaterra, São Vistano , mártir, que, sendo membro da família real da Mésia, porque se opôs ao matrimónio incestuoso de sua mãe regente, foi morto com a espada do tirano.",(† 849),"no território de leicester, na inglaterra, são vistano , mártir, que, sendo membro da família real da mésia, porque se opôs ao matrimónio incestuoso de sua mãe regente, foi morto com a espada do tirano."
