date,description,death_date
2024-01-04,"<p><strong>6*.   </strong>Em Bruay-sur-l’Escaut, próximo de Valenciennes, no território de Artois da Nêustria, também na actual França, Santa <strong>Faraílde</strong>, viúva, que, obrigada a contrair matrimónio com um homem violento, abraçou até à sua velhice uma vida de oração e austeridade.</p>",(† c. 745)
2024-01-04,"<p><strong>7*.   </strong>Em Foligno, na Úmbria, região da Itália, Santa <strong>Ângela</strong>, que, depois da morte do esposo e dos filhos, seguindo os passos de São Francisco, se consagrou inteiramente a Deus e escreveu num livro as experiências extraordinárias da sua vida mística.</p>",(† 1309)
2024-01-04,"<p><strong>8*.   </strong>Em Santa Croce sull’Arno, na Etrúria, actualmente na Toscana, região da Itália, a Beata <strong>Cristiana</strong> (Oringa) <strong>Menabuoi</strong>, virgem, que fundou um mosteiro com a regra de Santo Agostinho.</p>",(† 1310)
2024-01-04,"<p><strong>9*.   </strong>Em Durham, na Inglaterra, o Beato <strong>Tomás</strong> <strong>Plumtree</strong>, presbítero e mártir, que, no reinado de Isabel I, foi condenado à morte pela sua fidelidade à Igreja católica e, depois de ter afirmado corajosamente, diante do patíbulo, que preferia dar a vida a cair na apostasia, foi enforcado.</p>",(† 1570)
2024-01-04,"<p><strong>10.   </strong>Em Emmetsburg, cidade de Maryland, nos Estados Unidos da América do Norte, Santa <strong>Isabel Ana Seton</strong>, que, ao ficar viúva, professou a fé católica e se entregou com grande diligência à formação das adolescentes e ao cuidado das crianças pobres com a Congregação das Irmãs da Caridade de São José, por ela mesma fundada.</p>",(† 1821)
2024-01-04,"<p><strong>11.   </strong>Em Madrid, na Espanha, São <strong>Manuel González Garcia</strong>, bispo, que foi um exímio pastor segundo o coração do Senhor. Promoveu com a maior diligência a difusão do culto da Santíssima Eucaristia e fundou a Congregação das Irmãs Missionárias de Nazaré.</p>",(† 1940)
2024-01-05,"<p><strong>1.   </strong>Em Alexandria, no Egipto, Santa <strong>Sinclética</strong>, que, segundo a tradição, seguiu a vida eremítica.</p>",(† s. IV)
2024-01-05,"<p><strong>2.   </strong>Em Cartago, na actual Tunísia, São <strong>Deográcias</strong>, bispo, que resgatou muitos cativos trazidos da cidade de Roma pelos Vândalos, abrigando-os em duas amplas basílicas preparadas com pequenos leitos e esteiras.</p>",(† 457/458)
2024-01-05,"<p><strong>3.   </strong>Em Roma, a comemoração de Santa <strong>Emiliana</strong>, virgem, tia paterna de São Gregório Magno, que, pouco depois da sua irmã Tarsila, partiu deste mundo ao encontro do Senhor.</p>",(† s. VI)
2024-01-05,"<p><strong>4*.   </strong>Na Bretanha Menor, região da actual França, São <strong>Convoião</strong>, abade, que fundou em Redon o mosteiro de São Salvador, onde, sob a sua direcção e seguindo a Regra de São Bento, floresceu uma pléiade de monges insignes pela sua grande piedade; destruído o seu cenóbio pelos Normandos, construiu um novo mosteiro em Saint-Maxent-de-Plélan, onde faleceu octogenário.</p>",(† 868)
2024-01-05,"<p><strong>5.   </strong>Em Londres, na Inglaterra, Santo <strong>Eduardo</strong> <strong>o Confessor</strong>, que, sendo rei dos Ingleses, muito estimado pelo povo por causa da sua exímia caridade, conseguiu estabelecer a paz no seu reino e promoveu tenazmente a comunhão com a Sé Apostólica.</p>",(† 1066)
2024-01-05,"<p><strong>6*.   </strong>Próximo de Walkenberg, na região de Limburgo, na actual Holanda, São <strong>Gerlac</strong>, eremita, insigne pelo seu auxílio aos pobres.</p>",(† 1165)
2024-01-05,"<p><strong>7*.   </strong>Em Tódi, na Úmbria, região da Itália, o Beato <strong>Rogério</strong>, presbítero da Ordem dos Frades Menores, que foi discípulo de São Francisco e seu fervoroso imitador.</p>",(† 1237)
2024-01-05,"<p><strong>8*.   </strong>Em Angers, na França, os beatos <strong>Francisco Peltier</strong>, <strong>Tiago</strong> <strong>Ledoyen</strong> e <strong>Pedro</strong> <strong>Tessier</strong>, presbíteros e mártires, que durante a Revolução Francesa, foram degolados por permanecerem fiéis ao seu sacerdócio.</p>",(† 1794)
2024-01-05,"<p><strong>9.   </strong>Em Filadélfia, na Pensilvânia, nos Estados Unidos da América do Norte, São <strong>João</strong> <strong>Nepomuceno</strong> <strong>Neumann</strong>, bispo, da Congregação do Santíssimo Redentor, que prestou grande auxílio aos imigrantes pobres com meios materiais, providentes conselhos e admirável caridade e se dedicou com muita solicitude à formação cristã das crianças.</p>",(† 1860)
2024-01-05,"<p><strong>10*.   </strong>Em Génova, na Itália, a Beata <strong>Maria</strong> <strong>Repetto</strong>, virgem, das Irmãs de Nossa Senhora do Refúgio no Monte Calvário, que, oculta aos olhos do mundo, foi notável na sua actividade para confortar os aflitos e fortalecer os vacilantes na esperança da salvação.</p>",(† 1890)
2024-01-05,"<p><strong>11*.   </strong>Em Dublin, na Irlanda, São <strong>Carlos</strong> <strong>de Santo André </strong>(João André) <strong>Houben</strong>, presbítero da Congregação da Paixão, zeloso ministro do sacramento da Penitência.</p>",(† 1893)
2024-01-05,"<p><strong>12*.   </strong>Em Jazlowice, cidade da Ucrânia, a Beata <strong>Marcelina</strong> <strong>Darowska</strong>, que, depois do falecimento do esposo e do filho primogénito, se consagrou ao Senhor e, sempre solícita pela dignidade da família, fundou a Congregação das Irmãs da Imaculada Virgem Santa Maria, destinada à formação das jovens.</p>",(† 1911)
2024-01-05,"<p><strong>13*.   </strong>Em Spoleto, na Itália, o Beato <strong>Pedro Bonílli</strong>, presbítero, fundador do Instituto das Irmãs da Sagrada Família, destinado à educação e auxílio das jovens indigentes e dos órfãos.</p>",(† 1935)
2024-01-05,"<p><strong>14*.   </strong>Em Saragoça, na Espanha, Santa <strong>Genoveva Torres Morales</strong>, virgem, que, tendo sofrido já desde a infância a aspereza da vida e a adversidade da doença, fundou o Instituto das Irmãs do Sacratíssimo Coração de Jesus e dos Anjos, destinada ao auxílio das mulheres.</p>",(† 1956)
2024-01-06,"<p>Solenidade da <strong>Epifania do Senhor</strong>, na qual se celebra a tríplice manifestação do nosso grande Deus e Senhor, Jesus Cristo: em Belém, o Menino Jesus foi adorado pelos magos; no Jordão, Jesus foi baptizado por João Baptista, ungido pelo Espírito Santo e chamado Filho de Deus Pai; em Caná da Galileia, numa festa de núpcias, transformando a água em vinho, Jesus manifestou a sua glória. Em Portugal esta solenidade celebra-se no domingo entre 2 e 8 deste mês.</p>
<p> </p>",
2024-01-06,"<p><strong>2.   </strong>Em Antínoo, na Tebaida, região do Egipto, os santos <strong>Julião</strong> e <strong>Basilissa</strong>, mártires.</p>",(† s. IV)
